l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,300573.SZ,兴齐眼药,20161201,,Y
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,000551.SZ,创元科技,20150701,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,300529.SZ,健帆生物,20160718,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000517.SZ,荣安地产,20080602,,Y
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,603708.SH,家家悦,20161201,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,300519.SZ,新光药业,20160624,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,300534.SZ,陇神戎发,20160907,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000690.SZ,宝新能源,20170526,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,002803.SZ,吉宏股份,20160624,,Y
801170.SI,交通运输,801178.SI,物流,851787.SI,公路货运,603569.SH,长久物流,20160803,,Y
801170.SI,交通运输,801178.SI,物流,851787.SI,公路货运,002800.SZ,天顺股份,20160525,,Y
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,603069.SH,海汽集团,20160624,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000426.SZ,兴业银锡,20120702,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,601882.SH,海天精工,20161028,,Y
801030.SI,基础化工,801036.SI,塑料,850354.SI,合成树脂,001333.SZ,光华股份,20221028,,Y
801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,001338.SZ,永顺泰,20221028,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,301277.SZ,新天地,20221028,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,301361.SZ,众智科技,20221028,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,603393.SH,新天然气,20160831,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,603689.SH,皖天然气,20161219,,Y
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,600977.SH,中国电影,20160804,,Y
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,601595.SH,上海电影,20160804,,Y
801760.SI,传媒,801766.SI,影视院线,857662.SI,院线,300528.SZ,幸福蓝海,20160804,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,603888.SH,新华网,20161017,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,601811.SH,新华文轩,20160804,,Y
801760.SI,传媒,801769.SI,出版,857691.SI,教育出版,601900.SH,南方传媒,20160203,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300560.SZ,中富通,20161028,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300571.SZ,平治信息,20161201,,Y
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,301396.SZ,宏景科技,20221028,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688362.SH,甬矽电子,20221028,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300548.SZ,长芯博创,20161012,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688432.SH,有研硅,20221028,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300570.SZ,太辰光,20161201,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,001319.SZ,铭科精技,20221202,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300555.SZ,ST路通,20161017,,Y
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,002828.SZ,贝肯能源,20161201,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688172.SH,燕东微,20221202,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688498.SH,源杰科技,20221202,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,603339.SH,四方科技,20160509,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,301255.SZ,通力科技,20221209,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,603090.SH,宏盛股份,20160823,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,603131.SH,上海沪工,20160525,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300503.SZ,昊志机电,20160304,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,002819.SZ,东方中科,20161028,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300515.SZ,三德科技,20160525,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300553.SZ,集智股份,20161017,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300557.SZ,理工光科,20161028,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603667.SH,五洲新春,20161017,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688141.SH,杰华特,20221209,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,603036.SH,如通股份,20161201,,Y
801890.SI,机械设备,801074.SI,专用设备,850726.SI,印刷包装机械,300509.SZ,新美星,20160418,,Y
801890.SI,机械设备,801074.SI,专用设备,850726.SI,印刷包装机械,300512.SZ,中亚股份,20160509,,Y
801890.SI,机械设备,801074.SI,专用设备,850726.SI,印刷包装机械,300521.SZ,爱司凯,20160624,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,688410.SH,山外山,20221209,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002816.SZ,*ST和科,20161017,,Y
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,688475.SH,萤石网络,20221209,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002837.SZ,英维克,20161219,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,603159.SH,上海亚虹,20160804,,Y
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,688147.SH,微导纳米,20221208,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,920110.BJ,雷特科技,20221206,,Y
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,300588.SZ,熙菱信息,20161219,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603660.SH,苏州科达,20161201,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300531.SZ,优博讯,20160804,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300552.SZ,万集科技,20161017,,Y
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300523.SZ,辰安科技,20160718,,Y
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300532.SZ,今天国际,20160804,,Y
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,300541.SZ,先进数通,20160907,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,001225.SZ,和泰机电,20230213,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,001260.SZ,坤泰股份,20230213,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603990.SH,麦迪科技,20161201,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603528.SH,多伦科技,20160418,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603189.SH,网达软件,20160907,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300520.SZ,科大国创,20160624,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,001278.SZ,一彬科技,20230213,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300373.SZ,扬杰科技,20140108,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002726.SZ,龙大美食,20140120,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002219.SZ,新里程,20151102,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300376.SZ,易事特,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300377.SZ,赢时胜,20140108,,Y
801170.SI,交通运输,801178.SI,物流,851782.SI,原材料供应链服务,002711.SZ,欧浦退(退市),20140108,,Y
801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,851242.SI,调味发酵品Ⅲ,603288.SH,海天味业,20140122,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002715.SZ,登云股份,20140108,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002718.SZ,友邦吊顶,20140122,,Y
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,002727.SZ,一心堂,20140120,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300371.SZ,汇中股份,20140108,,Y
801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,002714.SZ,牧原股份,20140122,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300369.SZ,绿盟科技,20140108,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300370.SZ,安控科技,20140108,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851315.SI,辅料,002720.SZ,宏良股份(IPO终止),20140122,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603166.SH,福达股份,20140124,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603699.SH,纽威股份,20140108,,Y
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,601016.SH,节能风电,20140110,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300382.SZ,斯莱克,20140122,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851328.SI,运动服装,603555.SH,ST贵人(退市),20140108,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002708.SZ,光洋股份,20140108,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002725.SZ,跃岭股份,20140122,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,603168.SH,莎普爱思,20140120,,Y
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,000155.SZ,川能动力,20190724,,Y
801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,002220.SZ,天宝退(退市),20090601,,Y
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,000567.SZ,海德股份,20180713,,Y
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002226.SZ,江南化工,20080414,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,000869.SZ,张裕A,20070702,,Y
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,000875.SZ,电投绿能,20190724,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002270.SZ,华明装备,20170629,,Y
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,000892.SZ,欢瑞世纪,20171211,,Y
801170.SI,交通运输,801178.SI,物流,851782.SI,原材料供应链服务,000906.SZ,浙商中拓,20210615,,Y
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,000687.SZ,华讯退(退市),20080602,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,000516.SZ,国际医学,20190513,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,000676.SZ,智度股份,20170629,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,000156.SZ,华数传媒,20111010,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601225.SH,陕西煤业,20140108,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,001696.SZ,宗申动力,20140701,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,002717.SZ,ST岭南,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300366.SZ,ST创意,20140108,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,300381.SZ,溢多利,20140122,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300372.SZ,欣泰退(退市),20140108,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603006.SH,联明股份,20140120,,Y
801170.SI,交通运输,801178.SI,物流,851787.SI,公路货运,002010.SZ,传化智联,20180420,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000698.SZ,ST沈化,20091231,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,002706.SZ,良信股份,20140108,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,002017.SZ,东信和平,20050901,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300375.SZ,鹏翎股份,20140108,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002028.SZ,思源电气,20190724,,Y
801150.SI,医药生物,801153.SI,医疗器械,851532.SI,医疗设备,300358.SZ,楚天科技,20140108,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002034.SZ,旺能环境,20190724,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002045.SZ,国光电器,20110110,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002050.SZ,三花智控,20111230,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300405.SZ,科隆股份,20140124,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002055.SZ,ST得润,20110110,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002077.SZ,大港股份,20150701,,Y
801080.SI,电子,801082.SI,其他电子Ⅱ,850841.SI,其他电子Ⅲ,002859.SZ,洁美科技,20180713,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,301123.SZ,奕东电子,20220107,,Y
801950.SI,煤炭,801952.SI,焦炭Ⅱ,859521.SI,焦炭Ⅲ,601015.SH,陕西黑猫,20140124,,Y
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,001266.SZ,宏英智能,20220211,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603306.SH,华懋科技,20140110,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002464.SZ,众应退(退市),20170629,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,002200.SZ,*ST交投,20130701,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603009.SH,北特科技,20140120,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603019.SH,中科曙光,20140124,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000760.SZ,斯太退(退市),20091009,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002795.SZ,永和智控,20190724,,Y
801730.SI,电力设备,801731.SI,电机Ⅱ,850741.SI,电机Ⅲ,603988.SH,中电电机,20140124,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,002102.SZ,能特科技,20140701,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,000793.SZ,*ST华闻,20070702,,Y
801200.SI,商贸零售,801204.SI,专业连锁Ⅱ,852041.SI,专业连锁Ⅲ,000829.SZ,天音控股,20060901,,Y
801980.SI,美容护理,801982.SI,化妆品,859821.SI,化妆品制造及其他,002094.SZ,青岛金王,20180713,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,002731.SZ,ST萃华,20140124,,Y
801150.SI,医药生物,801153.SI,医疗器械,851534.SI,体外诊断,300406.SZ,九强生物,20140124,,Y
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,603188.SH,亚邦股份,20140110,,Y
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,603369.SH,今世缘,20140120,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,300393.SZ,中来股份,20140116,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,300392.SZ,腾信退(退市),20140110,,Y
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,000802.SZ,北京文化,20151102,,Y
801080.SI,电子,801082.SI,其他电子Ⅱ,850841.SI,其他电子Ⅲ,002729.SZ,好利科技,20140116,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,002723.SZ,小崧股份,20140122,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002713.SZ,*ST东易,20140108,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,000836.SZ,ST富通(退市),20130701,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,002224.SZ,三力士,20080407,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002351.SZ,漫步者,20110110,,Y
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,000776.SZ,广发证券,20070702,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,002138.SZ,顺络电子,20080602,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002296.SZ,辉煌科技,20170629,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002510.SZ,天汽模,20170629,,Y
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,002658.SZ,雪迪龙,20151012,,Y
801210.SI,社会服务,801994.SI,教育,859851.SI,学历教育,002659.SZ,凯文教育,20180713,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002654.SZ,万润科技,20170629,,Y
801880.SI,汽车,801092.SI,汽车服务,850233.SI,汽车综合服务,002684.SZ,猛狮退(退市),20180713,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002558.SZ,巨人网络,20170522,,Y
801150.SI,医药生物,801153.SI,医疗器械,851533.SI,医疗耗材,002382.SZ,蓝帆医疗,20190121,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002418.SZ,康盛股份,20110110,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002061.SZ,浙江交科,20180713,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002113.SZ,*ST天润(退市),20170629,,Y
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,002129.SZ,TCL中环,20170629,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002173.SZ,创新医疗,20180713,,Y
801890.SI,机械设备,801076.SI,轨交设备Ⅱ,850936.SI,轨交设备Ⅲ,000925.SZ,众合科技,20111230,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,000971.SZ,*ST高升(退市),20170526,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002266.SZ,浙富控股,20200902,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,002390.SZ,信邦制药,20131231,,Y
801110.SI,家用电器,801113.SI,小家电,851131.SI,厨房小家电,002705.SZ,新宝股份,20140108,,Y
801790.SI,非银金融,801191.SI,多元金融,851926.SI,金融信息服务,002647.SZ,*ST仁东,20180713,,Y
